processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
FOAH827-08,BW-A5738,974059, ,IN00286,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,W White & M Puckridge,10/18/08, , , ,FAO-57,CSIRO unreg,-7.03333,110.783, , ,Indonesia,Jawa Barat,Central Java,Sadeng
FOAH828-08,BW-A5739,974060, ,IN00287,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,W White & M Puckridge,10/18/08, , , ,FAO-57,CSIRO unreg,-7.03333,110.783, , ,Indonesia,Jawa Barat,Central Java,Sadeng
FOAI053-08,BW-A5960,974281, ,IN00524,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,Melody Puckridge, , ,W White & M Puckridge,10/25/08, , , ,FAO-57,CSIRO unreg,-8.8,116.483, , ,Indonesia,Nusa Tenggara Barat,Lombok,Tanjung Luar
FOAI054-08,BW-A5961,974282, ,IN00525,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,Melody Puckridge, , ,W White & M Puckridge,10/25/08, , , ,FAO-57,CSIRO unreg,-8.8,116.483, , ,Indonesia,Nusa Tenggara Barat,Lombok,Tanjung Luar
FOAI327-09,BW-A6234,1110351,CSIRO H 6827-01,GT3746,"CSIRO, Australian National Fish Collection",BOLD:ACB3815,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,343007,Neotrygon ningalooensis, , ,Peter Last, , ,P Last,12/10/08, , , ,FAO-57,::taxonomy:original ID Neotrygon sp. (Coral Bay)::endTaxonomy:,-23.1667,113.75, , ,Australia,Western Australia, ,"Five Fingers Reef, Coral Bay"
FOAI328-09,BW-A6235,1110352,CSIRO H 6828-01,GT3747,"CSIRO, Australian National Fish Collection",BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,Peter Last, , ,M Sugden,12/10/08, , , ,FAO-57, ,-23.1667,113.75, , ,Australia,Western Australia, ,"Five Fingers Reef, Coral Bay"
FOAI942-10,BW-A6849,1550930,CSIRO H 7018-01,GT 5210,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,John Pogonoski, , ,G Fry (CSIRO),2/23/09, , , ,FAO-71, ,-16.3027,138.635, , ,Australia,Queensland, ,"NW of Mornington Island, Gulf of Carpentaria"
FOAI943-10,BW-A6850,1550931,CSIRO H 7016-01,GT 5204,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,John Pogonoski, , ,G Fry (CSIRO),2/20/09, , , ,FAO-71, ,-12.9282,141.214, , ,Australia,Queensland,Gulf of Carpentaria,Gulf of Carpentaria
FOAN436-11,BW-A11229,1947157,unreg,Temp # 1,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,179846,Neotrygon annotata, , ,Gary Fry, , ,G Fry (CSIRO),1/1/11, , , ,FAO-FAO-71, , , , , ,Australia,Queensland,Gulf of Carpentaria,Gulf of Carpentaria
FOAN437-11,BW-A11230,1947158,unreg,Temp # 2,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,179846,Neotrygon annotata, , ,Gary Fry, , ,G Fry (CSIRO),1/1/11, , , ,FAO-71, , , , , ,Australia,Queensland,Gulf of Carpentaria,Gulf of Carpentaria
